name,name_en,lat,lon
北京,Beijing,39.9042,116.4074
上海,Shanghai,31.2304,121.4737
天津,Tianjin,39.0842,117.2009
重庆,Chongqing,29.5630,106.5516
哈尔滨,Harbin,45.7500,126.6333
长春,Changchun,43.8170,125.3235
沈阳,Shenyang,41.8057,123.4315
呼和浩特,Hohhot,40.8423,111.7498
石家庄,Shijiazhuang,38.0428,114.5148
乌鲁木齐,Urumqi,43.8256,87.6168
兰州,Lanzhou,36.0611,103.8343
西宁,Xining,36.6232,101.7786
西安,Xi'an,34.2648,108.9546
银川,Yinchuan,38.4879,106.2323
郑州,Zhengzhou,34.7466,113.6253
济南,Jinan,36.6512,117.1201
太原,Taiyuan,37.8706,112.5507
合肥,Hefei,31.8206,117.2272
长沙,Changsha,28.2282,112.9388
武汉,Wuhan,30.5928,114.3055
南京,Nanjing,32.0603,118.7969
成都,Chengdu,30.5728,104.0668
贵阳,Guiyang,26.6477,106.6345
昆明,Kunming,25.0422,102.7122
南宁,Nanning,22.8172,108.3666
拉萨,Lhasa,29.6456,91.1408
杭州,Hangzhou,30.2741,120.1551
南昌,Nanchang,28.6832,115.8582
广州,Guangzhou,23.1291,113.2644
福州,Fuzhou,26.0745,119.2965
海口,Haikou,20.0458,110.3422
台北,Taipei,25.0330,121.5654
大连,Dalian,38.9140,121.6147
青岛,Qingdao,36.0671,120.3826
厦门,Xiamen,24.4798,118.0894
深圳,Shenzhen,22.5431,114.0579